                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.81868,                 0.3516,                0.89955,                0.99923,                      1,                  0.995,                0.79802,                0.85774,                0.29715,                0.94484,              0.0089803,              0.0089803,              0.0089803
                    105,                0.82267,                0.35306,                0.89972,                0.99937,                      1,                  0.995,                0.79727,                0.85422,                0.30026,                0.94231,              0.0089704,              0.0089704,              0.0089704
                    106,                0.81753,                0.35036,                0.89818,                0.99878,                      1,                  0.995,                0.79698,                0.86395,                0.29725,                0.94942,              0.0089605,              0.0089605,              0.0089605
                    107,                0.81191,                0.34783,                0.89709,                0.99938,                      1,                  0.995,                0.79992,                0.84641,                0.29818,                0.94168,              0.0089506,              0.0089506,              0.0089506
                    108,                0.81299,                0.35159,                 0.9013,                0.99922,                      1,                  0.995,                 0.7986,                0.85366,                0.29751,                0.94296,              0.0089407,              0.0089407,              0.0089407
                    109,                0.81095,                0.34456,                 0.9019,                0.99931,                      1,                  0.995,                0.78801,                0.85478,                0.29549,                0.94023,              0.0089308,              0.0089308,              0.0089308
                    110,                0.81376,                0.35022,                0.90229,                0.99932,                      1,                  0.995,                0.80287,                0.85628,                0.30527,                0.94964,              0.0089209,              0.0089209,              0.0089209
                    111,                0.82576,                0.35325,                0.90222,                0.99933,                      1,                  0.995,                0.81048,                0.83316,                0.29235,                0.93607,               0.008911,               0.008911,               0.008911
                    112,                0.81172,                0.34669,                0.89922,                0.99938,                      1,                  0.995,                0.80646,                0.83762,                  0.293,                0.94094,              0.0089011,              0.0089011,              0.0089011
                    113,                0.82375,                0.35136,                0.89688,                0.99927,                      1,                  0.995,                0.79336,                 0.8366,                0.29811,                0.93784,              0.0088912,              0.0088912,              0.0088912
                    114,                0.81384,                0.34647,                0.90008,                0.99926,                      1,                  0.995,                0.80724,                0.82092,                0.29059,                0.93109,              0.0088813,              0.0088813,              0.0088813
                    115,                0.81717,                 0.3517,                0.90234,                0.99906,                      1,                  0.995,                 0.8108,                0.83363,                 0.2968,                 0.9366,              0.0088714,              0.0088714,              0.0088714
                    116,                 0.8123,                0.34998,                0.89918,                0.99921,                      1,                  0.995,                0.80756,                0.83648,                0.29411,                0.93847,              0.0088615,              0.0088615,              0.0088615
                    117,                0.81307,                0.34802,                0.90043,                 0.9994,                      1,                  0.995,                0.80396,                0.83371,                0.29031,                0.93524,              0.0088516,              0.0088516,              0.0088516
                    118,                0.80615,                0.34783,                0.89608,                0.99937,                      1,                  0.995,                0.80749,                0.83438,                0.28985,                0.93452,              0.0088417,              0.0088417,              0.0088417
                    119,                0.80471,                0.34425,                0.89242,                0.99931,                      1,                  0.995,                0.80035,                0.84341,                0.28888,                0.94044,              0.0088318,              0.0088318,              0.0088318
                    120,                0.80414,                0.34488,                0.90054,                 0.9994,                      1,                  0.995,                0.79928,                0.84167,                0.28967,                0.93861,              0.0088219,              0.0088219,              0.0088219
                    121,                0.81193,                0.34628,                 0.9019,                0.99937,                      1,                  0.995,                0.80045,                 0.8597,                0.29318,                0.94744,               0.008812,               0.008812,               0.008812
                    122,                 0.8052,                0.34643,                0.90002,                0.99924,                      1,                  0.995,                 0.8054,                0.85439,                0.29659,                0.93973,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.8087,                0.34445,                0.89972,                0.99973,                      1,                  0.995,                0.80737,                 0.8472,                0.29185,                0.94233,              0.0087922,              0.0087922,              0.0087922
                    124,                0.80479,                 0.3456,                0.90158,                0.99938,                      1,                  0.995,                0.81895,                0.83136,                0.28753,                0.93972,              0.0087823,              0.0087823,              0.0087823
                    125,                0.80334,                0.34244,                0.89972,                0.99935,                      1,                  0.995,                 0.8039,                0.83934,                0.28892,                0.93722,              0.0087724,              0.0087724,              0.0087724
                    126,                0.80823,                0.34443,                0.89646,                0.99935,                      1,                  0.995,                0.80474,                0.83495,                0.29256,                0.93494,              0.0087625,              0.0087625,              0.0087625
                    127,                0.80847,                0.34274,                0.90153,                0.99927,                      1,                  0.995,                0.80754,                0.82859,                0.28672,                0.93414,              0.0087526,              0.0087526,              0.0087526
                    128,                0.80402,                0.34316,                0.89894,                0.99933,                      1,                  0.995,                0.80247,                0.83461,                0.28971,                0.93471,              0.0087427,              0.0087427,              0.0087427
                    129,                0.80923,                0.34303,                0.89791,                0.99924,                      1,                  0.995,                0.81416,                0.83428,                0.28741,                0.93708,              0.0087328,              0.0087328,              0.0087328
                    130,                0.80405,                0.34432,                0.89583,                0.99939,                      1,                  0.995,                0.80313,                0.83813,                0.29204,                0.93967,              0.0087229,              0.0087229,              0.0087229
                    131,                0.79987,                0.34463,                0.89581,                0.99937,                      1,                  0.995,                0.80353,                 0.8446,                0.28597,                0.93967,               0.008713,               0.008713,               0.008713
                    132,                0.78869,                0.33757,                0.89656,                0.99928,                      1,                  0.995,                0.80871,                0.82544,                0.28387,                0.93312,              0.0087031,              0.0087031,              0.0087031
                    133,                0.79916,                0.34075,                0.89767,                0.99932,                      1,                  0.995,                0.81301,                0.83163,                0.28537,                0.93696,              0.0086932,              0.0086932,              0.0086932
                    134,                0.79657,                0.34224,                0.89766,                0.99935,                      1,                  0.995,                0.81022,                0.82396,                0.29581,                0.93202,              0.0086833,              0.0086833,              0.0086833
                    135,                0.79534,                 0.3414,                0.89452,                0.99962,                      1,                  0.995,                0.81247,                0.83247,                0.28399,                0.93634,              0.0086734,              0.0086734,              0.0086734
                    136,                0.79563,                0.33706,                 0.8936,                0.99939,                      1,                  0.995,                0.81306,                0.82862,                0.28615,                0.93933,              0.0086635,              0.0086635,              0.0086635
                    137,                0.79896,                0.34111,                0.89826,                0.99938,                      1,                  0.995,                 0.8106,                0.82837,                0.28637,                0.93499,              0.0086536,              0.0086536,              0.0086536
                    138,                 0.7931,                 0.3391,                0.89523,                0.99928,                      1,                  0.995,                0.80638,                0.83232,                0.28498,                0.93873,              0.0086437,              0.0086437,              0.0086437
                    139,                0.79376,                0.33741,                0.89681,                0.99936,                      1,                  0.995,                0.80402,                0.82384,                0.28591,                0.93262,              0.0086338,              0.0086338,              0.0086338
                    140,                0.78486,                0.33346,                0.89603,                0.99933,                      1,                  0.995,                0.81276,                0.81713,                  0.283,                0.93638,              0.0086239,              0.0086239,              0.0086239
                    141,                0.80027,                0.33491,                0.89805,                0.99937,                      1,                  0.995,                0.80627,                0.83229,                0.28048,                0.93851,               0.008614,               0.008614,               0.008614
                    142,                0.79635,                0.33953,                0.89193,                 0.9993,                      1,                  0.995,                0.80897,                0.83062,                0.28524,                0.93556,              0.0086041,              0.0086041,              0.0086041
                    143,                0.79957,                0.33921,                 0.8959,                0.99929,                      1,                  0.995,                0.81529,                0.82687,                0.28579,                 0.9331,              0.0085942,              0.0085942,              0.0085942
                    144,                0.79562,                0.33899,                 0.9003,                0.99928,                      1,                  0.995,                0.81557,                0.81331,                0.28043,                0.93118,              0.0085843,              0.0085843,              0.0085843
                    145,                0.79664,                0.33634,                0.89794,                0.99931,                      1,                  0.995,                0.81591,                0.81771,                0.28296,                0.93215,              0.0085744,              0.0085744,              0.0085744
                    146,                0.79284,                0.34075,                 0.8938,                 0.9993,                      1,                  0.995,                0.81161,                0.82434,                0.28553,                0.93538,              0.0085645,              0.0085645,              0.0085645
                    147,                 0.7861,                0.33221,                0.89489,                0.99929,                      1,                  0.995,                0.80426,                0.82983,                0.28252,                 0.9342,              0.0085546,              0.0085546,              0.0085546
                    148,                0.79512,                0.33428,                0.89647,                0.99937,                      1,                  0.995,                0.80861,                0.82241,                0.28224,                0.93023,              0.0085447,              0.0085447,              0.0085447
                    149,                0.79517,                0.33755,                0.89923,                0.99924,                      1,                  0.995,                0.80821,                0.82572,                0.28151,                0.92958,              0.0085348,              0.0085348,              0.0085348
