                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.75065,                 0.3244,                0.88556,                0.99933,                      1,                  0.995,                0.81307,                0.83298,                0.28261,                0.93027,              0.0088219,              0.0088219,              0.0088219
                    121,                0.75194,                0.32147,                0.88642,                0.99919,                      1,                  0.995,                0.81688,                 0.8267,                0.28269,                 0.9315,               0.008812,               0.008812,               0.008812
                    122,                0.74276,                0.32144,                0.88401,                0.99933,                      1,                  0.995,                0.80525,                0.82677,                0.27755,                 0.9303,              0.0088021,              0.0088021,              0.0088021
                    123,                0.74323,                0.32092,                0.88252,                0.99928,                      1,                  0.995,                0.81018,                0.84551,                0.28533,                0.93918,              0.0087922,              0.0087922,              0.0087922
                    124,                0.74318,                0.32006,                0.88508,                0.99928,                      1,                  0.995,                0.81615,                0.83461,                 0.2795,                0.93704,              0.0087823,              0.0087823,              0.0087823
                    125,                0.74786,                0.32037,                0.88396,                0.99917,                      1,                  0.995,                0.79467,                0.84503,                0.28276,                0.93958,              0.0087724,              0.0087724,              0.0087724
                    126,                0.74626,                0.31899,                0.88017,                0.99933,                      1,                  0.995,                0.81487,                0.83126,                0.28556,                 0.9284,              0.0087625,              0.0087625,              0.0087625
                    127,                0.74237,                0.31826,                 0.8841,                0.99918,                      1,                  0.995,                0.81345,                0.82003,                0.28186,                0.92659,              0.0087526,              0.0087526,              0.0087526
                    128,                0.74263,                0.31784,                0.88218,                  0.999,                      1,                  0.995,                0.81096,                0.82909,                0.27837,                0.93149,              0.0087427,              0.0087427,              0.0087427
                    129,                0.73707,                 0.3151,                 0.8799,                0.99936,                      1,                  0.995,                0.81107,                0.84611,                0.28658,                0.93719,              0.0087328,              0.0087328,              0.0087328
                    130,                0.73434,                0.31399,                0.87864,                0.99936,                      1,                  0.995,                0.80007,                 0.8488,                0.28745,                0.94026,              0.0087229,              0.0087229,              0.0087229
                    131,                 0.7282,                0.31805,                0.87753,                0.99938,                      1,                  0.995,                0.80407,                0.83784,                0.28582,                0.93365,               0.008713,               0.008713,               0.008713
                    132,                0.72214,                0.31328,                0.87951,                0.99934,                      1,                  0.995,                0.81401,                0.82409,                0.27756,                0.92747,              0.0087031,              0.0087031,              0.0087031
                    133,                0.73289,                0.31597,                 0.8793,                0.99921,                      1,                  0.995,                0.80082,                0.83987,                0.28358,                0.93697,              0.0086932,              0.0086932,              0.0086932
                    134,                0.72254,                0.31491,                0.87858,                0.99929,                      1,                  0.995,                0.81294,                0.82762,                0.28363,                0.93353,              0.0086833,              0.0086833,              0.0086833
                    135,                0.72766,                0.31569,                0.87694,                 0.9993,                      1,                  0.995,                0.81136,                0.82409,                0.27766,                0.93087,              0.0086734,              0.0086734,              0.0086734
                    136,                 0.7263,                0.31042,                0.87635,                0.99932,                      1,                  0.995,                0.81205,                 0.8196,                0.28059,                0.93268,              0.0086635,              0.0086635,              0.0086635
                    137,                0.72673,                0.31452,                0.87946,                0.99939,                      1,                  0.995,                0.81181,                0.83376,                 0.2811,                0.93494,              0.0086536,              0.0086536,              0.0086536
                    138,                0.71368,                0.31126,                  0.876,                 0.9988,                      1,                  0.995,                0.81144,                0.81434,                0.28374,                0.93142,              0.0086437,              0.0086437,              0.0086437
                    139,                0.71666,                0.31404,                0.87782,                0.99935,                      1,                  0.995,                0.81448,                0.81434,                0.27944,                0.92969,              0.0086338,              0.0086338,              0.0086338
                    140,                0.71095,                0.30889,                0.87728,                0.99931,                      1,                  0.995,                0.81136,                0.82759,                0.28117,                0.93315,              0.0086239,              0.0086239,              0.0086239
                    141,                0.71846,                0.30951,                0.87769,                0.99924,                      1,                  0.995,                0.81244,                0.79603,                0.27351,                0.92871,               0.008614,               0.008614,               0.008614
                    142,                0.71196,                 0.3115,                0.87168,                0.99934,                      1,                  0.995,                0.80341,                0.82472,                0.27609,                0.93462,              0.0086041,              0.0086041,              0.0086041
                    143,                0.70926,                0.30794,                 0.8743,                0.99905,                      1,                  0.995,                0.80794,                0.81653,                0.27558,                 0.9299,              0.0085942,              0.0085942,              0.0085942
                    144,                0.71311,                0.30794,                0.87976,                0.99938,                      1,                  0.995,                0.81581,                0.80995,                0.27815,                0.93479,              0.0085843,              0.0085843,              0.0085843
                    145,                0.70439,                0.30423,                0.87597,                0.99929,                      1,                  0.995,                0.81508,                0.82019,                0.27835,                 0.9326,              0.0085744,              0.0085744,              0.0085744
                    146,                0.70783,                0.30734,                0.87345,                0.99936,                      1,                  0.995,                  0.809,                0.83332,                0.28177,                0.93947,              0.0085645,              0.0085645,              0.0085645
                    147,                0.70012,                0.30274,                 0.8727,                0.99925,                      1,                  0.995,                0.81696,                0.82242,                 0.2777,                0.93739,              0.0085546,              0.0085546,              0.0085546
                    148,                0.70757,                 0.3077,                0.87538,                 0.9993,                      1,                  0.995,                0.82063,                0.82226,                0.27691,                0.93305,              0.0085447,              0.0085447,              0.0085447
                    149,                0.70573,                0.30656,                0.87602,                0.99913,                      1,                  0.995,                0.80506,                 0.8029,                0.27689,                0.93412,              0.0085348,              0.0085348,              0.0085348
                    150,                0.69467,                0.30506,                 0.8696,                 0.9993,                      1,                  0.995,                0.81575,                0.80838,                0.27794,                0.93055,              0.0085249,              0.0085249,              0.0085249
                    151,                0.69125,                0.30136,                0.86941,                0.99931,                      1,                  0.995,                0.81492,                0.81424,                0.27633,                0.93391,               0.008515,               0.008515,               0.008515
                    152,                0.70299,                0.30743,                0.87284,                0.99831,                      1,                  0.995,                0.81052,                0.82032,                0.28162,                0.93571,              0.0085051,              0.0085051,              0.0085051
                    153,                0.69555,                0.30522,                0.87435,                0.99925,                      1,                  0.995,                 0.8168,                0.80947,                0.28113,                0.92798,              0.0084952,              0.0084952,              0.0084952
                    154,                0.69782,                0.30428,                0.87335,                0.99933,                      1,                  0.995,                0.81865,                0.79674,                0.27654,                0.92693,              0.0084853,              0.0084853,              0.0084853
                    155,                 0.6805,                0.29781,                0.86747,                0.99912,                      1,                  0.995,                0.81994,                0.81405,                0.27592,                0.93028,              0.0084754,              0.0084754,              0.0084754
                    156,                0.68775,                0.30468,                0.87102,                0.99937,                      1,                  0.995,                0.81527,                0.81083,                0.28243,                0.93238,              0.0084655,              0.0084655,              0.0084655
                    157,                0.68938,                0.30215,                0.86935,                0.99919,                      1,                  0.995,                0.81562,                0.79202,                0.27414,                0.92685,              0.0084556,              0.0084556,              0.0084556
                    158,                0.68296,                0.29852,                0.86615,                0.99924,                      1,                  0.995,                0.81176,                0.79662,                0.27443,                 0.9293,              0.0084457,              0.0084457,              0.0084457
